"YEAR","SEMESTRE","INS_SEDE_NOMBRE","Total","Periodo"
2015,1,"Bogotá",52763,"2015-1"
2015,1,"Amazonía",471,"2015-1"
2015,1,"Universidad",3406,"2015-1"
2015,1,"Medellín",9211,"2015-1"
2015,1,"Manizales",2553,"2015-1"
2015,1,"Orinoquía",806,"2015-1"
2015,1,"Tumaco",493,"2015-1"
2015,1,"Caribe",198,"2015-1"
2015,1,"Palmira",1029,"2015-1"
2015,2,"Amazonía",344,"2015-2"
2015,2,"Universidad",1167,"2015-2"
2015,2,"Manizales",1990,"2015-2"
2015,2,"Bogotá",34170,"2015-2"
2015,2,"Medellín",5754,"2015-2"
2015,2,"Palmira",1135,"2015-2"
2015,2,"Tumaco",662,"2015-2"
2015,2,"Orinoquía",269,"2015-2"
2015,2,"Caribe",41,"2015-2"
2016,1,"Universidad",3979,"2016-1"
2016,1,"Amazonía",462,"2016-1"
2016,1,"Medellín",10274,"2016-1"
2016,1,"Manizales",2913,"2016-1"
2016,1,"Bogotá",54784,"2016-1"
2016,1,"Palmira",1149,"2016-1"
2016,1,"Tumaco",1270,"2016-1"
2016,1,"Caribe",235,"2016-1"
2016,1,"Orinoquía",460,"2016-1"
2016,2,"Amazonía",242,"2016-2"
2016,2,"Medellín",5432,"2016-2"
2016,2,"Universidad",1275,"2016-2"
2016,2,"Palmira",1076,"2016-2"
2016,2,"Bogotá",31796,"2016-2"
2016,2,"Manizales",2184,"2016-2"
2016,2,"Orinoquía",306,"2016-2"
2016,2,"Tumaco",668,"2016-2"
2016,2,"Caribe",117,"2016-2"
2017,1,"Amazonía",752,"2017-1"
2017,1,"Universidad",3892,"2017-1"
2017,1,"Bogotá",57864,"2017-1"
2017,1,"Orinoquía",2002,"2017-1"
2017,1,"Manizales",2946,"2017-1"
2017,1,"Medellín",9737,"2017-1"
2017,1,"Palmira",1053,"2017-1"
2017,1,"Tumaco",1108,"2017-1"
2017,1,"Caribe",185,"2017-1"
2017,2,"Amazonía",377,"2017-2"
2017,2,"Universidad",1492,"2017-2"
2017,2,"Bogotá",34853,"2017-2"
2017,2,"Manizales",2348,"2017-2"
2017,2,"Medellín",5333,"2017-2"
2017,2,"Palmira",1018,"2017-2"
2017,2,"Orinoquía",843,"2017-2"
2017,2,"Tumaco",966,"2017-2"
2017,2,"Caribe",129,"2017-2"
2018,1,"Universidad",3803,"2018-1"
2018,1,"Amazonía",783,"2018-1"
2018,1,"Palmira",1097,"2018-1"
2018,1,"Manizales",2600,"2018-1"
2018,1,"Orinoquía",1557,"2018-1"
2018,1,"Bogotá",53733,"2018-1"
2018,1,"Medellín",9943,"2018-1"
2018,1,"Tumaco",2115,"2018-1"
2018,1,"Caribe",209,"2018-1"
2018,2,"Universidad",1668,"2018-2"
2018,2,"Bogotá",33775,"2018-2"
2018,2,"Amazonía",845,"2018-2"
2018,2,"Manizales",2123,"2018-2"
2018,2,"Medellín",6307,"2018-2"
2018,2,"Orinoquía",1167,"2018-2"
2018,2,"Tumaco",1262,"2018-2"
2018,2,"Palmira",923,"2018-2"
2018,2,"Caribe",118,"2018-2"
2019,1,"Universidad",3761,"2019-1"
2019,1,"Amazonía",966,"2019-1"
2019,1,"Medellín",10728,"2019-1"
2019,1,"Manizales",2794,"2019-1"
2019,1,"Bogotá",57489,"2019-1"
2019,1,"Orinoquía",2040,"2019-1"
2019,1,"Palmira",1268,"2019-1"
2019,1,"Tumaco",3548,"2019-1"
2019,1,"Caribe",260,"2019-1"
2019,2,"Amazonía",315,"2019-2"
2019,2,"Universidad",1632,"2019-2"
2019,2,"Bogotá",31918,"2019-2"
2019,2,"Palmira",835,"2019-2"
2019,2,"Medellín",4412,"2019-2"
2019,2,"Orinoquía",1387,"2019-2"
2019,2,"De La Paz",685,"2019-2"
2019,2,"Manizales",1867,"2019-2"
2019,2,"Caribe",100,"2019-2"
2019,2,"Tumaco",957,"2019-2"
2020,1,"Universidad",3584,"2020-1"
2020,1,"Amazonía",844,"2020-1"
2020,1,"Bogotá",49832,"2020-1"
2020,1,"Manizales",2481,"2020-1"
2020,1,"Medellín",8579,"2020-1"
2020,1,"Orinoquía",1585,"2020-1"
2020,1,"De La Paz",559,"2020-1"
2020,1,"Caribe",198,"2020-1"
2020,1,"Palmira",824,"2020-1"
2020,1,"Tumaco",1725,"2020-1"
2020,2,"Universidad",1710,"2020-2"
2020,2,"Bogotá",29589,"2020-2"
2020,2,"Amazonía",679,"2020-2"
2020,2,"Manizales",1839,"2020-2"
2020,2,"Medellín",5012,"2020-2"
2020,2,"Orinoquía",1222,"2020-2"
2020,2,"Palmira",909,"2020-2"
2020,2,"De La Paz",797,"2020-2"
2020,2,"Tumaco",1474,"2020-2"
2020,2,"Caribe",100,"2020-2"
2021,1,"Universidad",2268,"2021-1"
2021,1,"Amazonía",588,"2021-1"
2021,1,"Medellín",7288,"2021-1"
2021,1,"Bogotá",48457,"2021-1"
2021,1,"Orinoquía",1558,"2021-1"
2021,1,"Tumaco",1206,"2021-1"
2021,1,"Manizales",1978,"2021-1"
2021,1,"De La Paz",712,"2021-1"
2021,1,"Palmira",661,"2021-1"
2021,1,"Caribe",216,"2021-1"
2021,2,"Amazonía",449,"2021-2"
2021,2,"Universidad",868,"2021-2"
2021,2,"Bogotá",15356,"2021-2"
2021,2,"Medellín",3254,"2021-2"
2021,2,"Manizales",1244,"2021-2"
2021,2,"De La Paz",538,"2021-2"
2021,2,"Tumaco",510,"2021-2"
2021,2,"Palmira",499,"2021-2"
2021,2,"Orinoquía",680,"2021-2"
2021,2,"Caribe",70,"2021-2"
2022,1,"Amazonía",748,"2022-1"
2022,1,"Universidad",2154,"2022-1"
2022,1,"Palmira",425,"2022-1"
2022,1,"Bogotá",36100,"2022-1"
2022,1,"Medellín",5812,"2022-1"
2022,1,"Manizales",1515,"2022-1"
2022,1,"Orinoquía",1183,"2022-1"
2022,1,"Tumaco",1650,"2022-1"
2022,1,"De La Paz",442,"2022-1"
2022,1,"Caribe",166,"2022-1"
2022,2,"Universidad",799,"2022-2"
2022,2,"Amazonía",281,"2022-2"
2022,2,"Orinoquía",656,"2022-2"
2022,2,"Medellín",2699,"2022-2"
2022,2,"Bogotá",14191,"2022-2"
2022,2,"Tumaco",675,"2022-2"
2022,2,"Manizales",1031,"2022-2"
2022,2,"Palmira",436,"2022-2"
2022,2,"De La Paz",492,"2022-2"
2022,2,"Caribe",75,"2022-2"
2023,1,"Bogotá",47340,"2023-1"
2023,1,"Amazonía",1061,"2023-1"
2023,1,"Medellín",7307,"2023-1"
2023,1,"Palmira",911,"2023-1"
2023,1,"Manizales",1822,"2023-1"
2023,1,"De La Paz",504,"2023-1"
2023,1,"Tumaco",1794,"2023-1"
2023,1,"Orinoquía",1354,"2023-1"
2023,1,"Caribe",173,"2023-1"
2023,2,"Amazonía",545,"2023-2"
2023,2,"Bogotá",25484,"2023-2"
2023,2,"Medellín",3768,"2023-2"
2023,2,"Manizales",1326,"2023-2"
2023,2,"Palmira",764,"2023-2"
2023,2,"Orinoquía",1040,"2023-2"
2023,2,"Tumaco",431,"2023-2"
2023,2,"De La Paz",371,"2023-2"
2023,2,"Caribe",100,"2023-2"
2024,1,"Amazonía",973,"2024-1"
2024,1,"Bogotá",43123,"2024-1"
2024,1,"Medellín",9264,"2024-1"
2024,1,"Palmira",1498,"2024-1"
