"YEAR","SEMESTRE","Total","Periodo","Poblacion"
2008,1,7634,"2008-1","Admitidos"
2008,2,6857,"2008-2","Admitidos"
2009,1,7783,"2009-1","Admitidos"
2009,2,7582,"2009-2","Admitidos"
2010,1,9265,"2010-1","Admitidos"
2010,2,7579,"2010-2","Admitidos"
2011,1,9483,"2011-1","Admitidos"
2011,2,7804,"2011-2","Admitidos"
2012,1,9223,"2012-1","Admitidos"
2012,2,7382,"2012-2","Admitidos"
2013,1,8930,"2013-1","Admitidos"
2013,2,7285,"2013-2","Admitidos"
2014,1,8150,"2014-1","Admitidos"
2014,2,7855,"2014-2","Admitidos"
2015,1,9131,"2015-1","Admitidos"
2015,2,7907,"2015-2","Admitidos"
2016,1,9442,"2016-1","Admitidos"
2016,2,8148,"2016-2","Admitidos"
2017,1,9540,"2017-1","Admitidos"
2017,2,8225,"2017-2","Admitidos"
2018,1,9972,"2018-1","Admitidos"
2018,2,8336,"2018-2","Admitidos"
2019,1,9038,"2019-1","Admitidos"
2019,2,8477,"2019-2","Admitidos"
2020,1,9802,"2020-1","Admitidos"
2020,2,7655,"2020-2","Admitidos"
2021,1,8927,"2021-1","Admitidos"
2021,2,7901,"2021-2","Admitidos"
2022,1,8584,"2022-1","Admitidos"
2022,2,7593,"2022-2","Admitidos"
2023,1,8260,"2023-1","Admitidos"
2023,2,7316,"2023-2","Admitidos"
2024,1,9075,"2024-1","Admitidos"
